2019-05-22 09:15:01.343 INFO  (Thread-770) [   x:erpcustpart] o.a.s.h.d.JdbcDataSource Time taken for getConnection(): 31
2019-05-22 09:15:01.363 INFO  (Thread-771) [   x:ioimomdm] o.a.s.h.d.JdbcDataSource Time taken for getConnection(): 26
2019-05-22 09:15:01.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:03.852 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:05.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:07.637 INFO  (Thread-770) [   x:erpcustpart] o.a.s.h.d.DocBuilder Import completed successfully
2019-05-22 09:15:07.637 INFO  (Thread-770) [   x:erpcustpart] o.a.s.u.DirectUpdateHandler2 start commit{_version_=1634223005511974918,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
2019-05-22 09:15:07.637 INFO  (Thread-770) [   x:erpcustpart] o.a.s.u.SolrIndexWriter Calling setCommitData with IW:org.apache.solr.update.SolrIndexWriter@babc305 commitCommandVersion:1634223005511974918
2019-05-22 09:15:07.852 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:08.573 INFO  (Thread-770) [   x:erpcustpart] o.a.s.s.SolrIndexSearcher Opening [Searcher@3db964a3[erpcustpart] main]
2019-05-22 09:15:08.573 INFO  (searcherExecutor-22-thread-1-processing-x:erpcustpart) [   x:erpcustpart] o.a.s.c.QuerySenderListener QuerySenderListener sending requests to Searcher@3db964a3[erpcustpart] main{ExitableDirectoryReader(UninvertingDirectoryReader(Uninverting(_l2z(7.3.0):C55616)))}
2019-05-22 09:15:08.574 INFO  (searcherExecutor-22-thread-1-processing-x:erpcustpart) [   x:erpcustpart] o.a.s.c.QuerySenderListener QuerySenderListener done.
2019-05-22 09:15:08.574 INFO  (searcherExecutor-22-thread-1-processing-x:erpcustpart) [   x:erpcustpart] o.a.s.c.SolrCore [erpcustpart] Registered new searcher Searcher@3db964a3[erpcustpart] main{ExitableDirectoryReader(UninvertingDirectoryReader(Uninverting(_l2z(7.3.0):C55616)))}
2019-05-22 09:15:08.580 INFO  (Thread-770) [   x:erpcustpart] o.a.s.u.DirectUpdateHandler2 end_commit_flush
2019-05-22 09:15:08.580 INFO  (Thread-770) [   x:erpcustpart] o.a.s.h.d.SimplePropertiesWriter Read dataimport.properties
2019-05-22 09:15:08.581 INFO  (Thread-770) [   x:erpcustpart] o.a.s.h.d.SimplePropertiesWriter Wrote last indexed time to dataimport.properties
2019-05-22 09:15:08.581 INFO  (Thread-770) [   x:erpcustpart] o.a.s.h.d.DocBuilder Time taken = 0:0:7.276
2019-05-22 09:15:08.581 INFO  (Thread-770) [   x:erpcustpart] o.a.s.u.p.LogUpdateProcessorFactory [erpcustpart]  webapp=/solr path=/dataimport params={commit=true&clean=true&command=full-import} status=0 QTime=4{deleteByQuery=*:* (-1634222998872391680),add=[19111 (1634222999945084928), 19122 (1634222999946133504), 14717 (1634222999946133505), 33148 (1634222999946133506), 32799 (1634222999946133507), 332310 (1634222999946133508), 64914 (1634222999946133509), 269515 (1634222999946133510), 267516 (1634222999946133511), 269717 (1634222999946133512), ... (55616 adds)],commit=} 0 7286
2019-05-22 09:15:09.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:11.850 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:13.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:15.851 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:17.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:19.851 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:21.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:23.851 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:25.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:27.852 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:29.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:31.851 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:33.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:35.852 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:37.852 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:39.852 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:41.851 INFO  (qtp1908316405-643) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
2019-05-22 09:15:43.852 INFO  (qtp1908316405-17) [   x:ioimomdm] o.a.s.c.S.Request [ioimomdm]  webapp=/solr path=/dataimport params={indent=on&wt=json&command=status&_=1558474110880} status=0 QTime=0
